Comment,Designator,Footprint,LCSC
SFH11-PBPC-D05-ST-BK,J1,IDC-Header_2x05_P2.54mm_Vertical,C358739
X9555WV-2X05-6TV01,J2,IDC-Header_2x05_P2.54mm_Vertical,C5665
