Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,SFH11-PBPC-D05-ST-BK,IDC-Header_2x05_P2.54mm_Vertical,165.505,-55.85,180.0,bottom
J2,X9555WV-2X05-6TV01,IDC-Header_2x05_P2.54mm_Vertical,150.2125,-55.85,180.0,bottom
